Date,Start time,Stop time,spectral evidence,spectrum time,Comments,Author,GHOST / both,MISS_folder_exists,SONY_folder_exists,files_found,miss_folder_path,sony_folder_path,miss_files_found,sony_files_found,sample_files,time_filter_used,miss_files_list,sony_files_list
2016-12-08,?,?,?,12:45:52,? = unfinished logging business :-),Noora,?,False,False,0,\\birkeland.unis.no\KHO\MISS-1\2016\12\08,\\birkeland.unis.no\KHO\Sony\2016\12\08\Images,0,0,,spectrum time: 12:45:52 (±1 min),[],[]
2017-01-08,08:35,08:55:25,no MISS,,fat one at 8:41:20 & 8:54:14,Tim,both,False,False,0,\\birkeland.unis.no\KHO\MISS-1\2017\01\08,\\birkeland.unis.no\KHO\Sony\2017\01\08\Images,0,0,,range: 08:35:00 - 08:55:25,[],[]
2017-01-08,09:14,09:37:40,no MISS,,"fat ones at 9:15:41, 9:17:43, 9:27:39, 9:32:39",Tim,both,False,False,0,\\birkeland.unis.no\KHO\MISS-1\2017\01\08,\\birkeland.unis.no\KHO\Sony\2017\01\08\Images,0,0,,range: 09:14:00 - 09:37:40,[],[]
2017-11-07,05:49,06:11:15,no MISS,,"fat one at 6:10:14, moonlit",Tim,both,False,False,0,\\birkeland.unis.no\KHO\MISS-1\2017\11\07,\\birkeland.unis.no\KHO\Sony\2017\11\07\Images,0,0,,range: 05:49:00 - 06:11:15,[],[]
2018-03-10,?,?,? ,01:06:55,,Noora,?,False,False,0,\\birkeland.unis.no\KHO\MISS-1\2018\03\10,\\birkeland.unis.no\KHO\Sony\2018\03\10\Images,0,0,,spectrum time: 01:06:55 (±1 min),[],[]
2019-01-12,?,?,?,00:50:08,,Noora,?,False,False,0,\\birkeland.unis.no\KHO\MISS-1\2019\01\12,\\birkeland.unis.no\KHO\Sony\2019\01\12\Images,0,0,,spectrum time: 00:50:08 (±1 min),[],[]
2020-01-01,?,?,?,22:16:00,some clouds but worth cheking,Noora,?,False,False,0,\\birkeland.unis.no\KHO\MISS-1\2020\01\01,\\birkeland.unis.no\KHO\Sony\2020\01\01\Images,0,0,,spectrum time: 22:16:00 (±1 min),[],[]
2020-01-03,08:30,09:50,MISS/HiTIES,09:31:00,"fat one, published",Noora,both,False,False,0,\\birkeland.unis.no\KHO\MISS-1\2020\01\03,\\birkeland.unis.no\KHO\Sony\2020\01\03\Images,0,0,,spectrum time: 09:31:00 (±1 min),[],[]
2020-02-28,03:05:00,03:20:00,HiTIES?/MISS @ 03:19,03:19:00,"semi-fat one, also at 03:49:39?",Noora,both,True,False,3,\\birkeland.unis.no\KHO\MISS-1\2020\02\28,\\birkeland.unis.no\KHO\Sony\2020\02\28\Images,3,0,"MISS-20200228-031800.pgm, MISS-20200228-031900.pgm, MISS-20200228-032000.pgm",spectrum time: 03:19:00 (±1 min),"['MISS-20200228-031800.pgm', 'MISS-20200228-031900.pgm', 'MISS-20200228-032000.pgm']",[]
2020-10-12,?,? ,no HiTIES,18:27:09,STEVE-like,Noora,?,False,False,0,\\birkeland.unis.no\KHO\MISS-1\2020\10\12,\\birkeland.unis.no\KHO\Sony\2020\10\12\Images,0,0,,spectrum time: 18:27:09 (±1 min),[],[]
2020-12-17,?,?,no HiTIES,15:46:31,STEVE-like,Noora,?,True,False,2,\\birkeland.unis.no\KHO\MISS-1\2020\12\17,\\birkeland.unis.no\KHO\Sony\2020\12\17\Images,2,0,"MISS-20201217-154600.pgm, MISS-20201217-154700.pgm",spectrum time: 15:46:31 (±1 min),"['MISS-20201217-154600.pgm', 'MISS-20201217-154700.pgm']",[]
